,name,state,location_type,cocoa,area_harvested_cocoa,area_planted_cocoa,coffee,area_planted_coffee,area_harvested_coffee,area_planted_corn,area_harvested_corn,corn,rice,area_planted_rice,area_harvested_rice,area_planted_soy,soy,area_harvested_soy,area_harvested_sugarcane,area_planted_sugarcane,sugarcane
3281,Marco,Ceara,city,0,0,0,0,0,0,1144,1144,412,8,8,8,0,0,0,0,0,0
3282,Marcolandia,Piaui,city,0,0,0,0,0,0,790,790,1442,0,0,0,0,0,0,0,0,0
3283,Marcos Parente,Piaui,city,0,0,0,0,0,0,160,160,240,90,60,60,0,0,0,0,0,0
3284,Marechal Candido Rondon,Parana,city,0,0,0,0,0,0,24800,24800,139995,0,0,0,33000,21000,33000,200,200,12000
3285,Marechal Deodoro,Alagoas,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,11000,691571
3286,Marechal Floriano,Espirito Santo,city,0,0,0,3300,2200,2200,80,80,181,0,0,0,0,0,0,8,8,240
3287,Marechal Thaumaturgo,Acre,city,0,0,0,0,0,0,650,640,1088,180,160,150,0,0,0,25,25,688
3288,Marema,Santa Catarina,city,0,0,0,0,0,0,400,400,1920,0,0,0,800,1440,800,40,40,2560
3289,Mari,Paraiba,city,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,2500,2500,137500
3290,Maria Helena,Parana,city,0,0,0,22,63,63,100,100,100,0,0,0,620,384,620,1269,1269,64703
3291,Maria da Fe,Minas Gerais,city,0,0,0,108,90,90,120,120,576,0,0,0,0,0,0,20,20,700
3292,Marialva,Parana,city,0,0,0,5,12,12,18060,18060,72340,0,0,0,27000,40500,27000,215,215,13542
3293,Mariana,Minas Gerais,city,0,0,0,24,18,18,120,120,504,0,0,0,0,0,0,48,48,2208
3294,Mariana Pimentel,Rio Grande do Sul,city,0,0,0,0,0,0,600,600,2340,6750,900,900,700,1764,700,15,15,300
3295,Mariano Moro,Rio Grande do Sul,city,0,0,0,0,0,0,700,700,1470,0,0,0,1600,3072,1600,12,12,300
3296,Marianopolis do Tocantins,Tocantins,city,0,0,0,0,0,0,15700,15700,70645,200,100,100,29692,106891,29692,10,10,700
3297,Maribondo,Alagoas,city,0,0,0,0,0,0,5,5,6,0,0,0,0,0,0,40,40,1636
3298,Marica,Rio de Janeiro,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3299,Marilac,Minas Gerais,city,0,0,0,0,0,0,250,250,1455,0,0,0,0,0,0,0,0,0
3300,Marilena,Parana,city,0,0,0,3,9,9,400,350,1575,0,0,0,410,207,345,4514,4514,312244
3301,Mariluz,Parana,city,0,0,0,0,0,0,17000,17000,73100,0,0,0,24300,26730,24300,1918,1918,53940
3302,Marilandia,Espirito Santo,city,181,160,160,23220,8600,8600,16,16,48,0,0,0,0,0,0,44,44,2420
